product_url,product_name,mrp,rating,no_of_reviews,description
https://www.homedepot.com/p/WYZE-Wired-Outdoor-Wi-Fi-Floodlight-Pro-Home-Security-Camera-with-2K-Resolution-and-App-Control-Works-with-Alexa-and-Google-WYZECFLP/325720667,"Wired Outdoor Wi-Fi Floodlight Pro Home Security Camera with 2K Resolution and App Control, Works with Alexa and Google",149,4.2,136,Not available
https://www.homedepot.com/p/Lockly-Secure-Pro-Matte-Black-Deadbolt-WiFi-Smart-Lock-Mobile-app-controlled-3D-Fingerprint-Keypad-works-w-Hey-Google-Alexa-PGD-728W-MB/309921106,"Secure Pro Matte Black Deadbolt WiFi Smart Lock Mobile app-controlled, 3D Fingerprint, Keypad, works w/ Hey Google/Alexa",299,4.7,579,"Fast advanced 3-D fingerprint recognition
Exclusive, hack-proof PIN Genie™ digital keypad
Remotely lock/unlock anywhere with free LOCKLY phone app
"
https://www.homedepot.com/p/Emerson-Sensi-Touch-7-day-Programmable-Wi-Fi-Smart-Thermostat-with-Touchscreen-Color-Display-C-wire-Required-ST75/301231587,"Sensi Touch 7-day Programmable Wi-Fi Smart Thermostat with Touchscreen Color Display, C-wire Required",169,4.5,871,"Easy DIY Install with simple thermostat wiring
Control from anywhere with our top-rated mobile app
Compatible with most systems, including heat pumps
"
https://www.homedepot.com/p/Kwikset-SmartCode-916-Z-Wave-Touchscreen-Contemporary-Matte-Black-Single-Cylinder-Keypad-Electronic-Deadbolt-with-SmartKey-916CNTZW500514S/310153226,SmartCode 916 Z-Wave Touchscreen Contemporary Matte Black Single Cylinder Keypad Electronic Deadbolt with SmartKey,249,4.3,26,"Program up to 30 user codes for friends, family, or contractors
Advanced capacitive touchscreen is ultra responsive to touch
Smart lock allows locking/unlocking from anywhere with Z-Wave hub
"
https://www.homedepot.com/p/Kwikset-Z-Wave-SmartCode-916-Touchscreen-Venetian-Bronze-Single-Cylinder-Keypad-Electronic-Deadbolt-Featuring-SmartKey-Security-916TRLZW50011PR/305360435,Z-Wave SmartCode 916 Touchscreen Venetian Bronze Single Cylinder Keypad Electronic Deadbolt Featuring SmartKey Security,192,3.3,98,"SmartKey Security re-keying allows you to re-key lock yourself
Voice control via Amazon Alexa (hub required, sold separately)
Requires 4 AA batteries, purchased separately
"
https://www.homedepot.com/p/Defiant-Vancouver-Matte-Black-Door-Handle-Set-with-Square-Smart-Hub-space-WiFi-Deadbolt-and-Hartford-Interior-Knob-32HPX9GYB/323216120,Vancouver Matte Black Door Handle Set with Square Smart Hub space WiFi Deadbolt and Hartford Interior Knob,133,3.7,10,"Manage device with Hubspace, Google and Alexa; No Hub required
Includes 10 Amp Smart indoor plug which also works as a Wi-Fi hub
Lock/unlock remotely with the Hubspace app
"
https://www.homedepot.com/p/Ring-Small-Solar-Panel-White-B09YGLYSDM/324356496,"Small Solar Panel, White",39,4.3,20,"Compact solar panel charger for any Ring USB-C Security Camera
Adjustable arm with 360° rotation and 180° tilt
Includes USB-C to barrel plug adapter for Ring Stick Up Cam
"
https://www.homedepot.com/p/Schlage-Camelot-Aged-Bronze-Connect-Z-Wave-Plus-Smart-Wifi-Deadbolt-Door-Lock-and-Accent-handle-Handleset-with-Camelot-Trim-BE469ZPVCAM716FE285GCAM716ACCCAM/313305727,Camelot Aged Bronze Connect Z-Wave Plus Smart Wifi Deadbolt Door Lock and Accent handle Handleset with Camelot Trim,266,3.7,56,"Smart Home hub required
Works with Amazon Alexa, Nexia, Samsung SmartThings, Wink, & more
Built-in alarm provides added security to your home
"
https://www.homedepot.com/p/TP-LINK-AC1750-Wi-Fi-Range-Extender-RE450/312961325,AC1750 Wi-Fi Range Extender,79,3.6,94,"Extend routers WiFi signal to areas with weak WiFi
Gigabit Ethernet port for high-speed wireless connections
Signal light indicates signal strength to help easy setup
"
https://www.homedepot.com/p/TP-LINK-AC750-Wi-Fi-Range-Extender-Wall-Plug-Adapter-in-White-RE205/304220508,AC750 Wi-Fi Range Extender Wall Plug Adapter in White,29,3.7,255,"Strengthening and expanding Wi-Fi signal into unreachable areas
Smart indicator light helps to install in best optimal location
Works with any wireless router or access point
"
